s,o
http://sdw.org/grid.1001.0,Australian National University
http://sdw.org/grid.1002.3,Monash University
http://sdw.org/grid.1003.2,University of Queensland
http://sdw.org/grid.1004.5,Macquarie University
http://sdw.org/grid.1005.4,UNSW Australia
http://sdw.org/grid.1006.7,Newcastle University
http://sdw.org/grid.1007.6,University of Wollongong
http://sdw.org/grid.1008.9,University of Melbourne
http://sdw.org/grid.1009.8,University of Tasmania
http://sdw.org/grid.1010.0,University of Adelaide
http://sdw.org/grid.1011.1,James Cook University
http://sdw.org/grid.1012.2,University of Western Australia
http://sdw.org/grid.1013.3,University of Sydney
http://sdw.org/grid.1014.4,Flinders University
http://sdw.org/grid.1016.6,Commonwealth Scientific and Industrial Research Organisation (CSIRO)
http://sdw.org/grid.1017.7,Royal Melbourne Institute of Technology University
http://sdw.org/grid.1018.8,La Trobe University
http://sdw.org/grid.1019.9,Victoria University
